date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-03-01,63226.77,60795.21,61179.58,52747.33,3267402863.37,62431.25,direct,
2024-03-02,62479.07,61631.05,62431.25,20264.53,1257238241.46,62038.39,direct,
2024-03-03,63254.84,61392.4,62038.39,20301.48,1265273119.48,63149.43,direct,
2024-03-04,68562.03,62363.97,63149.43,79177.16,5220774005.79,68338.64,direct,
2024-03-05,69244.55,59268.68,68338.64,126873.13,8263897912.84,63804.11,direct,
2024-03-06,67645.97,62851.27,63804.11,68031.77,4498440968.53,66115.57,direct,
2024-03-07,68065.89,65610.94,66115.57,41800.64,2804368120.13,66928.15,direct,
2024-03-08,70151.23,66173.73,66928.15,59361.92,4046244830.74,68269.39,direct,
2024-03-09,68663.92,68026.81,68269.39,16947.1,1158711168.05,68446.32,direct,
2024-03-10,69976.84,68218.19,68446.32,27686.99,1919585405.6,69023.53,direct,
2024-03-11,72872.77,67170.42,69023.53,62709.74,4476609937.75,72095.86,direct,
2024-03-12,72996.99,68636.43,72095.86,58546.01,4173072731.62,71449.5,direct,
2024-03-13,73672.14,71329.7,71449.5,41314.41,3008299520.61,73118.09,direct,
2024-03-14,73802.64,68493.91,73118.09,60699.01,4325873413.25,71366.96,direct,
2024-03-15,72394.97,65579.78,71366.96,73358.94,5016358153.02,69497.39,direct,
2024-03-16,70043.23,64783.87,69497.39,33956.52,2295869354.32,65260.55,direct,
2024-03-17,68873.88,64529.3,65260.55,29362.49,1962751757.05,68364.45,direct,
2024-03-18,68925.18,66584.49,68364.45,38542.52,2602930945.01,67609.44,direct,
2024-03-19,68116.53,61529.15,67609.44,75848.91,4863914201.82,61924.02,direct,
2024-03-20,68139.33,60782.8,61924.02,69671.19,4466872469.25,67857.3,direct,
2024-03-21,68229.38,64548.09,67857.3,38234.75,2542747734.72,65493.22,direct,
2024-03-22,66643.64,62321.3,65493.22,37343.35,2395884490.04,63816.99,direct,
2024-03-23,66005.71,63025.99,63816.99,19360.47,1250716141.79,64004.42,direct,
2024-03-24,67623.78,63802.82,64004.42,19120.87,1253420264.9,67208.33,direct,
2024-03-25,71202.65,66400.46,67208.33,46100.6,3184570068.52,69892.26,direct,
2024-03-26,71558.85,69294.69,69892.26,32990.33,2319265484.04,69990.22,direct,
2024-03-27,71762.06,68384.71,69990.22,40450.72,2817965870.72,69434.46,direct,
2024-03-28,71593.93,68864.89,69434.46,31346.01,2214217706.88,70789.57,direct,
2024-03-29,70925.04,69059.03,70789.57,17382.89,1216001428.98,69903.72,direct,
2024-03-30,70356.07,69586.01,69903.72,7371.14,515940317.66,69629.99,direct,
2024-03-31,71389.78,69601.39,69629.99,10567.65,745658086.55,71312.91,direct,
2024-04-01,71325.61,68074.92,71312.91,28892.19,2005923775.26,69686.37,direct,
2024-04-02,69703.1,64571.71,69686.37,48905.67,3234216304.99,65466.81,direct,
2024-04-03,66925.93,64514.87,65466.81,27792.87,1835055534.78,65986.11,direct,
2024-04-04,69343.32,65081.42,65986.11,36673.5,2475521298.64,68523.79,direct,
2024-04-05,68772.34,65994.65,68523.79,32904.8,2219856764.99,67860.53,direct,
2024-04-06,69672.09,67483.82,67860.53,11314.76,772361130.33,68913.79,direct,
2024-04-07,70303.08,68877.35,68913.79,13691.75,951477284.85,69357.32,direct,
2024-04-08,72750.51,69064.41,69357.32,36459.33,2607488940.79,71629.36,direct,
2024-04-09,71748.92,68213.24,71629.36,34538.71,2411758700.3,69129.48,direct,
2024-04-10,71150.5,67480.7,69129.48,37142.44,2563902180.98,70628.54,direct,
2024-04-11,71297.81,69558.05,70628.54,24988.45,1758820969.32,70026.43,direct,
2024-04-12,71246.69,65257.57,70026.43,49331.17,3367653179.18,67158.3,direct,
2024-04-13,68422.6,61079.47,67158.3,56915.71,3689543158.77,64021.36,direct,
2024-04-14,65874.88,62229.8,64021.36,40968.04,2627998512.52,65765.64,direct,
2024-04-15,66902.94,62328.07,65765.64,40978.19,2658417494.41,63447.27,direct,
2024-04-16,64385.46,61667.72,63447.27,35542.55,2234500815.41,63824.7,direct,
2024-04-17,64503.77,59682.79,63824.7,41504.19,2562816108.8,61283.74,direct,
