date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-06-01,3829.62,3748.85,3758.65,97005.74,367756459.88,3812.81,direct,
2024-06-02,3834.79,3750.64,3812.81,123116.68,466824951.42,3779.06,direct,
2024-06-03,3849.89,3758.03,3779.06,171897.5,653009594.07,3766.32,direct,
2024-06-04,3832.27,3731.38,3766.32,161833.45,612657331.91,3810.73,direct,
2024-06-05,3887.65,3778.47,3810.73,170665.85,652385687.52,3866.46,direct,
2024-06-06,3878.9,3758.9,3866.46,140945.2,540297339.89,3812.05,direct,
2024-06-07,3839.68,3584.45,3812.05,249976.03,935183066.83,3676.79,direct,
2024-06-08,3707.87,3660.99,3676.79,80031.59,294854677.9,3680.84,direct,
2024-06-09,3721.77,3666.37,3680.84,64608.0,238542651.45,3706.0,direct,
2024-06-10,3712.47,3643.95,3706.0,115082.08,423204164.35,3665.99,direct,
2024-06-11,3671.15,3420.98,3665.99,327115.24,1153310772.38,3497.32,direct,
2024-06-12,3656.3,3462.28,3497.32,236419.7,843561060.98,3559.25,direct,
2024-06-13,3560.44,3426.66,3559.25,244679.96,853785190.92,3467.79,direct,
2024-06-14,3529.49,3360.4,3467.79,263322.79,910398097.21,3479.74,direct,
2024-06-15,3591.34,3471.43,3479.74,160975.62,569541552.37,3566.61,direct,
2024-06-16,3650.47,3539.39,3566.61,123587.85,443668310.23,3622.37,direct,
2024-06-17,3636.6,3464.1,3622.37,293898.69,1040317235.48,3510.08,direct,
2024-06-18,3515.3,3360.4,3510.08,360756.73,1235708665.8,3482.27,direct,
2024-06-19,3585.45,3464.99,3482.27,277087.04,981355099.29,3558.97,direct,
2024-06-20,3624.03,3484.24,3558.97,285337.3,1013417559.96,3510.94,direct,
2024-06-21,3545.62,3445.09,3510.94,285086.02,997489348.48,3517.28,direct,
2024-06-22,3520.1,3474.17,3517.28,92237.39,322568484.7,3494.25,direct,
2024-06-23,3519.63,3405.61,3494.25,128959.72,447200216.36,3418.62,direct,
2024-06-24,3432.39,3238.76,3418.62,432111.09,1436399345.37,3350.54,direct,
2024-06-25,3429.63,3335.17,3350.54,268888.0,910221643.15,3393.91,direct,
2024-06-26,3424.88,3324.89,3393.91,233222.44,787394906.99,3369.46,direct,
2024-06-27,3473.86,3360.17,3369.46,202794.81,694115777.85,3445.8,direct,
2024-06-28,3484.29,3361.15,3445.8,237892.69,813695887.0,3373.8,direct,
2024-06-29,3402.58,3367.02,3373.8,73783.39,249697553.04,3373.52,direct,
2024-06-30,3454.57,3348.22,3373.52,113753.11,386215815.53,3432.82,direct,
2024-07-01,3519.01,3421.6,3432.82,194043.88,673689774.3,3438.83,direct,
2024-07-02,3460.32,3397.31,3438.83,133508.19,457927979.27,3416.41,direct,
2024-07-03,3427.05,3248.43,3416.41,252160.2,836070409.6,3292.16,direct,
2024-07-04,3309.66,3050.24,3292.16,331942.98,1049223019.3,3058.81,direct,
2024-07-05,3107.89,2813.4,3058.81,590544.78,1738218188.02,2982.07,direct,
2024-07-06,3081.82,2956.02,2982.07,186751.41,563019491.33,3067.54,direct,
2024-07-07,3073.37,2922.6,3067.54,194303.14,581743502.23,2931.2,direct,
2024-07-08,3095.59,2823.46,2931.2,446084.06,1324818646.47,3018.49,direct,
2024-07-09,3113.28,3003.39,3018.49,270137.34,827566369.94,3066.44,direct,
2024-07-10,3151.0,3024.32,3066.44,266996.85,827331929.61,3100.44,direct,
2024-07-11,3216.8,3055.15,3100.44,306401.14,959215308.08,3099.49,direct,
2024-07-12,3158.27,3045.45,3099.49,263282.49,816437009.68,3134.62,direct,
2024-07-13,3203.26,3114.5,3134.62,143528.6,452734839.69,3176.67,direct,
2024-07-14,3269.15,3164.68,3176.67,179824.84,576393568.87,3246.12,direct,
2024-07-15,3495.92,3234.16,3246.12,372645.85,1256447785.47,3485.5,direct,
2024-07-16,3500.11,3348.6,3485.5,381716.86,1311168548.22,3446.19,direct,
2024-07-17,3518.37,3377.02,3446.19,290332.97,1002846011.47,3387.66,direct,
2024-07-18,3489.81,3367.76,3387.66,294308.06,1008326515.58,3425.94,direct,
2024-07-19,3542.18,3376.46,3425.94,362043.38,1249532745.89,3506.0,direct,
2024-07-20,3541.04,3482.21,3506.0,155617.03,545578065.02,3518.85,direct,
2024-07-21,3547.99,3413.6,3518.85,237146.07,829407003.8,3536.46,direct,
2024-07-22,3563.26,3424.39,3536.46,293172.34,1021404115.3,3441.05,direct,
2024-07-23,3541.2,3390.66,3441.05,497692.19,1727769821.29,3483.07,direct,
2024-07-24,3488.34,3305.26,3483.07,374294.59,1276136904.66,3335.15,direct,
2024-07-25,3342.09,3086.98,3335.15,629226.14,1993255125.39,3174.48,direct,
2024-07-26,3286.14,3170.16,3174.48,352369.01,1143687551.64,3274.89,direct,
2024-07-27,3328.21,3191.5,3274.89,266332.66,870351113.68,3249.36,direct,
2024-07-28,3284.22,3198.42,3249.36,169799.31,552126414.21,3270.15,direct,
2024-07-29,3396.47,3257.12,3270.15,401715.85,1337423635.28,3317.94,direct,
2024-07-30,3365.72,3233.0,3317.94,350556.94,1159118253.15,3278.41,direct,
2024-07-31,3348.14,3212.6,3278.41,376464.31,1237697272.51,3231.84,direct,
2024-08-01,3242.01,3077.63,3231.84,487547.13,1539066982.82,3200.67,direct,
2024-08-02,3215.63,2963.83,3200.67,523145.1,1612368844.34,2985.72,direct,
2024-08-03,3016.01,2857.64,2985.72,393207.03,1156019177.73,2902.09,direct,
2024-08-04,2932.92,2631.57,2902.09,471043.14,1318526624.61,2688.08,direct,
2024-08-05,2695.99,2121.38,2688.08,1526680.78,3591927547.03,2420.39,direct,
2024-08-06,2555.03,2416.38,2420.39,714375.21,1782189220.6,2462.39,direct,
2024-08-07,2552.44,2309.57,2462.39,726776.89,1768819066.35,2343.5,direct,
2024-08-08,2725.27,2321.44,2343.5,683581.04,1720305405.81,2683.62,direct,
2024-08-09,2708.37,2553.45,2683.62,477272.21,1254678742.58,2600.21,direct,
2024-08-10,2645.71,2577.75,2600.21,216883.19,566478754.71,2610.64,direct,
2024-08-11,2720.01,2541.45,2610.64,341708.96,895626363.13,2555.67,direct,
2024-08-12,2750.36,2510.8,2555.67,568584.98,1497872954.96,2723.07,direct,
2024-08-13,2738.95,2611.9,2723.07,445417.36,1193720774.03,2703.6,direct,
2024-08-14,2780.36,2634.08,2703.6,501689.55,1352456213.01,2661.98,direct,
2024-08-15,2675.61,2516.45,2661.98,513312.96,1339226674.49,2570.39,direct,
2024-08-16,2631.33,2551.62,2570.39,386678.1,1004141276.96,2593.7,direct,
2024-08-17,2627.79,2588.33,2593.7,145605.55,379457607.09,2614.92,direct,
2024-08-18,2688.05,2595.09,2614.92,230351.73,608760936.0,2612.58,direct,
2024-08-19,2648.59,2564.33,2612.58,350672.63,913374780.6,2637.47,direct,
2024-08-20,2696.96,2555.47,2637.47,391914.19,1027820178.53,2573.25,direct,
2024-08-21,2665.0,2536.65,2573.25,406904.03,1060404718.81,2631.39,direct,
2024-08-22,2645.74,2585.16,2631.39,302785.48,792847483.99,2623.57,direct,
2024-08-23,2801.3,2622.04,2623.57,454835.09,1227460805.08,2764.81,direct,
2024-08-24,2821.03,2734.68,2764.81,247938.26,687507298.7,2769.86,direct,
2024-08-25,2793.69,2734.94,2769.86,197125.99,544826991.77,2747.52,direct,
2024-08-26,2763.44,2667.78,2747.52,361330.86,983028927.22,2681.15,direct,
2024-08-27,2700.25,2397.41,2681.15,575029.06,1478097677.49,2458.29,direct,
2024-08-28,2555.36,2419.63,2458.29,723938.63,1805521537.98,2528.73,direct,
2024-08-29,2596.48,2505.99,2528.73,490152.85,1248564659.83,2527.97,direct,
2024-08-30,2549.39,2431.81,2527.97,540292.51,1350698797.75,2526.02,direct,
2024-08-31,2533.75,2492.3,2526.02,161106.88,405411435.18,2513.01,direct,
