date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-10-01,1333.85,1303.19,1328.7,273983.82,361595127.37,1311.8,direct,
2022-10-02,1317.65,1272.05,1311.8,411466.97,533576502.55,1276.69,direct,
2022-10-03,1329.8,1265.42,1276.69,817660.89,1066475762.56,1323.32,direct,
2022-10-04,1370.09,1319.02,1323.32,713943.35,962114984.8,1361.9,direct,
2022-10-05,1364.69,1316.75,1361.9,667604.6,897717802.0,1352.44,direct,
2022-10-06,1384.03,1346.79,1352.44,979637.13,1337183654.48,1352.4,direct,
2022-10-07,1361.52,1317.95,1352.4,631810.29,847055907.94,1331.14,direct,
2022-10-08,1337.38,1303.92,1331.14,193854.73,256701832.62,1315.47,direct,
2022-10-09,1328.86,1307.58,1315.47,204851.91,270217040.65,1323.41,direct,
2022-10-10,1338.13,1289.77,1323.41,538968.88,706276755.9,1290.04,direct,
2022-10-11,1297.84,1268.05,1290.04,698727.95,895785523.92,1279.79,direct,
2022-10-12,1306.21,1275.03,1279.79,509091.81,659072834.99,1294.29,direct,
2022-10-13,1300.93,1199.77,1294.29,1242884.05,1553294534.83,1287.51,direct,
2022-10-14,1343.39,1283.82,1287.51,985870.85,1300245316.03,1296.63,direct,
2022-10-15,1301.81,1264.0,1296.63,298151.13,383099353.48,1274.91,direct,
2022-10-16,1315.33,1274.68,1274.91,335309.9,433760169.98,1305.87,direct,
2022-10-17,1338.64,1295.86,1305.87,567289.21,748550276.7,1331.52,direct,
2022-10-18,1341.38,1287.13,1331.52,710601.48,936900282.81,1310.78,direct,
2022-10-19,1313.67,1280.17,1310.78,544229.57,706514928.62,1284.85,direct,
2022-10-20,1310.72,1271.7,1284.85,624309.59,805186791.44,1282.68,direct,
2022-10-21,1307.1,1254.6,1282.68,636332.09,817282417.74,1299.88,direct,
2022-10-22,1319.61,1294.4,1299.88,208560.33,272863413.86,1313.91,direct,
2022-10-23,1370.8,1300.09,1313.91,421356.89,561742750.96,1364.2,direct,
2022-10-24,1370.45,1324.47,1364.2,721346.34,969857919.89,1343.83,direct,
2022-10-25,1524.13,1335.31,1343.83,1642318.42,2350835728.61,1460.37,direct,
2022-10-26,1595.06,1457.91,1460.37,1835153.39,2821129189.15,1566.85,direct,
2022-10-27,1578.12,1505.22,1566.85,1408936.86,2182940242.05,1514.35,direct,
2022-10-28,1574.67,1484.12,1514.35,1115356.45,1703276756.19,1555.12,direct,
2022-10-29,1663.64,1548.24,1555.12,921088.69,1488331267.57,1620.42,direct,
2022-10-30,1640.31,1577.18,1620.42,556544.13,891449874.51,1590.93,direct,
2022-10-31,1635.53,1547.97,1590.93,1020683.99,1615108402.06,1572.88,direct,
2022-11-01,1611.88,1563.39,1572.88,700521.98,1109585843.08,1578.51,direct,
2022-11-02,1620.26,1502.4,1578.51,1303264.24,2037801666.52,1518.33,direct,
2022-11-03,1558.59,1515.32,1518.33,748066.97,1152727124.17,1530.87,direct,
2022-11-04,1671.48,1528.31,1530.87,1195605.21,1925861769.02,1645.06,direct,
2022-11-05,1665.9,1621.64,1645.06,372275.57,611265136.47,1627.42,direct,
2022-11-06,1638.76,1565.49,1627.42,456328.92,735107790.65,1568.75,direct,
2022-11-07,1608.74,1546.59,1568.75,873269.35,1378127340.69,1568.45,direct,
2022-11-08,1579.41,1250.63,1568.45,2888023.55,4107836408.23,1334.22,direct,
2022-11-09,1337.05,1081.28,1334.22,2781427.49,3360130314.53,1104.17,direct,
2022-11-10,1347.76,1090.05,1104.17,1434018.02,1773564733.66,1296.01,direct,
2022-11-11,1306.47,1200.46,1296.01,1116988.68,1409146347.24,1285.23,direct,
2022-11-12,1289.04,1236.27,1285.23,338208.86,427130657.25,1254.95,direct,
2022-11-13,1272.09,1200.31,1254.95,348001.46,429569400.6,1219.85,direct,
2022-11-14,1288.74,1170.9,1219.85,697240.74,855858844.55,1241.39,direct,
2022-11-15,1288.55,1232.81,1241.39,575085.3,723628030.12,1252.0,direct,
2022-11-16,1266.73,1185.82,1252.0,607212.63,742289325.22,1215.24,direct,
2022-11-17,1227.03,1181.92,1215.24,472447.65,568626212.85,1199.45,direct,
2022-11-18,1231.6,1198.2,1199.45,363748.92,441193528.12,1210.98,direct,
2022-11-19,1231.29,1196.77,1210.98,190518.55,230572688.07,1216.52,direct,
2022-11-20,1225.0,1130.87,1216.52,419202.77,491708817.05,1140.47,direct,
2022-11-21,1144.37,1079.94,1140.47,888334.79,990700383.48,1105.99,direct,
2022-11-22,1140.64,1074.4,1105.99,742768.38,824490701.43,1137.75,direct,
2022-11-23,1189.1,1126.34,1137.75,645984.08,750643596.67,1183.69,direct,
2022-11-24,1215.66,1179.27,1183.69,456499.85,547060532.6,1202.96,direct,
2022-11-25,1205.7,1170.43,1202.96,333765.53,396616881.99,1198.4,direct,
2022-11-26,1233.38,1196.04,1198.4,270909.36,329190686.13,1204.94,direct,
