high_price,low,open,volumefrom,volumeto,close,conversionType
65590.04,62238.44,64617.83,37045.09,2364449721.14,65300.21,direct
65548.28,61165.12,65300.21,40943.43,2601345982.92,61422.3,direct
62154.66,59838.49,61422.3,26176.07,1596127875.28,60679.28,direct
61075.03,57174.97,60679.28,28092.97,1665780997.48,58135.89,direct
58275.19,49202.81,58135.89,117153.32,6220425122.88,54031.82,direct
57077.92,53987.77,54031.82,44255.76,2473716223.17,56057.67,direct
57753.96,54580.16,56057.67,39691.91,2232435439.52,55130.45,direct
62717.23,54751.57,55130.45,48215.66,2834182014.44,61708.53,direct
61752.64,59573.13,61708.53,32998.38,2000603963.46,60868.88,direct
61478.08,60270.33,60868.88,11935.68,725371248.47,60940.82,direct
61842.63,58331.17,60940.82,18214.18,1093722861.0,58725.0,direct
60708.39,57677.54,58725.0,33285.38,1967504137.76,59360.89,direct
61603.92,58440.76,59360.89,28787.92,1727785105.35,60609.73,direct
61788.76,58461.76,60609.73,30973.89,1858459018.71,58698.05,direct
59869.57,56132.98,58698.05,34692.53,2023439063.25,57552.92,direct
59851.62,57106.84,57552.92,29186.89,1708248208.47,58893.67,direct
59708.69,58815.46,58893.67,9691.68,574723583.6,59497.94,direct
60280.79,58433.69,59497.94,13915.75,830090221.14,58439.22,direct
59632.55,57828.14,58439.22,24222.4,1420739617.67,59464.41,direct
61442.89,58588.82,59464.41,31292.98,1877438049.21,59027.55,direct
61851.26,58806.66,59027.55,38408.34,2311932103.1,61170.8,direct
61426.96,59756.43,61170.8,28924.51,1754742660.96,60387.29,direct
64982.66,60351.28,60387.29,42020.68,2623908332.37,64087.8,direct
64523.11,63591.53,64087.8,15286.56,979836005.58,64180.77,direct
65058.66,63828.67,64180.77,12753.39,819671993.67,64264.62,direct
64504.12,62816.08,64264.62,27037.83,1719932426.98,62850.27,direct
63220.85,58045.32,62850.27,39241.27,2403744129.11,59441.73,direct
60232.58,57868.47,59441.73,38043.04,2251640371.44,59043.5,direct
61191.57,58735.81,59043.5,34345.83,2058113286.38,59369.85,direct
59926.33,57725.72,59369.85,35023.22,2063630420.49,59129.05,direct
59456.66,58759.04,59129.05,8035.77,474924657.65,58989.17,direct
59085.64,57217.94,58989.17,22352.53,1298154355.3,57313.44,direct
59431.04,57135.27,57313.44,23766.29,1383666270.94,59147.8,direct
59825.44,57411.84,59147.8,26568.4,1548986994.4,57481.84,direct
58532.47,55625.58,57481.84,43027.18,2458579314.87,57975.52,direct
