date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2011-02-01,0.85,0.5201,0.5501,31562.12,23264.18,0.7077,direct,
2011-02-02,0.76,0.69,0.7077,5627.48,4126.02,0.716,direct,
2011-02-03,0.75,0.6501,0.716,8524.5,6064.12,0.6964,direct,
2011-02-04,0.88,0.67,0.6964,42222.19,33965.74,0.811,direct,
2011-02-05,0.92,0.811,0.811,15786.81,13634.2,0.92,direct,
2011-02-06,0.92,0.83,0.92,8744.11,7608.77,0.8997,direct,
2011-02-07,0.9,0.83,0.8997,2264.28,1949.54,0.89,direct,
2011-02-08,0.918,0.8617,0.89,7021.29,6306.77,0.918,direct,
2011-02-09,1.09,0.82,0.918,49632.5,47455.01,1.09,direct,
2011-02-10,1.1,0.8,1.09,26559.64,25568.81,0.9803,direct,
2011-02-11,1.09,0.9264,0.9803,13299.18,13213.54,1.07,direct,
2011-02-12,1.08,0.9906,1.07,4118.92,4353.79,1.08,direct,
2011-02-13,1.08,1.02,1.08,3240.64,3398.3,1.05,direct,
2011-02-14,1.08,1.033,1.05,7096.55,7532.41,1.07,direct,
2011-02-15,1.085,1.035,1.07,8616.58,9085.5,1.05,direct,
2011-02-16,1.05,1.02,1.05,7192.38,7465.03,1.045,direct,
2011-02-17,1.05,1.02,1.045,4009.84,4184.96,1.04,direct,
2011-02-18,1.04,0.7801,1.04,36948.16,32719.75,0.8989,direct,
2011-02-19,0.98,0.8376,0.8989,3798.71,3454.72,0.949,direct,
2011-02-20,0.949,0.83,0.949,9974.05,8503.38,0.865,direct,
2011-02-21,0.8796,0.8313,0.865,1700.12,1435.86,0.8345,direct,
2011-02-22,0.95,0.8313,0.8345,12095.26,10650.29,0.8702,direct,
2011-02-23,0.945,0.8681,0.8702,6718.87,6057.77,0.9,direct,
2011-02-24,1.0,0.9,0.9,13418.69,12708.12,0.9974,direct,
2011-02-25,0.9998,0.9111,0.9974,4461.06,4276.3,0.9112,direct,
2011-02-26,0.97,0.9106,0.9112,4744.41,4452.63,0.958,direct,
2011-02-27,0.958,0.89,0.958,23268.75,21576.82,0.89,direct,
2011-02-28,0.92,0.845,0.89,4651.67,4108.6,0.8702,direct,
2011-03-01,0.97,0.8502,0.8702,22569.78,21413.43,0.9202,direct,
2011-03-02,0.94,0.9102,0.9202,2741.87,2533.96,0.9399,direct,
2011-03-03,0.9399,0.91,0.9399,2746.67,2520.58,0.9391,direct,
2011-03-04,0.9391,0.9001,0.9391,2711.89,2469.56,0.9012,direct,
2011-03-05,0.9189,0.8111,0.9012,12570.59,11115.04,0.9103,direct,
2011-03-06,0.9103,0.81,0.9103,12626.49,10775.11,0.8999,direct,
2011-03-07,0.909,0.846,0.8999,15271.27,13527.3,0.885,direct,
2011-03-08,0.885,0.85,0.885,4527.85,3931.42,0.87,direct,
2011-03-09,0.87,0.85,0.87,4546.05,3881.22,0.8645,direct,
2011-03-10,0.9329,0.8497,0.8645,8869.01,7895.07,0.9329,direct,
2011-03-11,0.9329,0.8601,0.9329,3725.51,3301.73,0.88,direct,
2011-03-12,0.9197,0.88,0.88,4822.83,4319.6,0.918,direct,
2011-03-13,0.918,0.8898,0.918,660.31,595.42,0.8925,direct,
2011-03-14,0.9,0.88,0.8925,5269.24,4676.62,0.8949,direct,
2011-03-15,0.8949,0.87,0.8949,2732.16,2405.41,0.87,direct,
2011-03-16,0.88,0.836,0.87,7929.62,6761.32,0.86,direct,
2011-03-17,0.88,0.81,0.86,7159.78,6042.77,0.8254,direct,
2011-03-18,0.8506,0.71,0.8254,14226.22,10971.32,0.8165,direct,
2011-03-19,0.8165,0.7313,0.8165,9875.04,7457.83,0.765,direct,
2011-03-20,0.79,0.7402,0.765,5815.32,4502.62,0.7522,direct,
2011-03-21,0.7724,0.7405,0.7522,3695.96,2780.45,0.759,direct,
2011-03-22,0.81,0.7405,0.759,12147.72,9499.24,0.809,direct,
2011-03-23,0.85,0.78,0.809,13262.26,11029.25,0.8497,direct,
2011-03-24,0.9,0.8266,0.8497,14009.37,12259.77,0.8669,direct,
2011-03-25,0.89,0.861,0.8669,4819.42,4225.53,0.8838,direct,
2011-03-26,0.905,0.841,0.8838,11756.42,10250.98,0.8552,direct,
2011-03-27,0.8721,0.8152,0.8552,5337.15,4439.07,0.8275,direct,
2011-03-28,0.85,0.76,0.8275,12565.15,10141.7,0.799,direct,
2011-03-29,0.7997,0.7648,0.799,4215.02,3312.3,0.7925,direct,
2011-03-30,0.795,0.766,0.7925,3218.22,2532.13,0.7897,direct,
2011-03-31,0.801,0.768,0.7897,6875.08,5429.16,0.7846,direct,
2011-04-01,0.797,0.7741,0.7846,3186.77,2483.69,0.7741,direct,
2011-04-02,0.7998,0.7741,0.7741,2493.59,1965.23,0.782,direct,
2011-04-03,0.7949,0.777,0.782,3931.39,3074.76,0.779,direct,
2011-04-04,0.785,0.5619,0.779,31155.46,21652.69,0.68,direct,
2011-04-05,0.7478,0.58,0.68,9730.3,6522.71,0.71,direct,
2011-04-06,0.75,0.6902,0.71,8703.95,6264.04,0.74,direct,
2011-04-07,0.7849,0.7205,0.74,10832.99,8178.14,0.7538,direct,
2011-04-08,0.799,0.7309,0.7538,18207.3,13854.66,0.75,direct,
2011-04-09,0.7676,0.7205,0.75,12119.4,8940.96,0.73,direct,
2011-04-10,0.7589,0.71,0.73,5348.98,3946.44,0.7369,direct,
2011-04-11,0.799,0.7103,0.7369,14645.93,11255.96,0.77,direct,
2011-04-12,0.899,0.77,0.77,48417.6,41333.11,0.86,direct,
2011-04-13,1.0,0.86,0.86,43397.56,40467.74,0.9225,direct,
2011-04-14,1.0,0.91,0.9225,31111.88,29643.61,1.0,direct,
2011-04-15,1.09,0.911,1.0,50304.61,50488.94,0.9899,direct,
2011-04-16,1.095,0.9541,0.9899,28869.3,30097.18,1.05,direct,
2011-04-17,1.14,1.026,1.05,24225.7,26085.25,1.112,direct,
2011-04-18,1.2,1.11,1.112,27478.69,31552.55,1.162,direct,
2011-04-19,1.198,1.144,1.162,12556.73,14782.06,1.198,direct,
2011-04-20,1.198,1.13,1.198,21344.95,24691.86,1.142,direct,
2011-04-21,1.21,1.14,1.142,39295.69,46345.35,1.21,direct,
2011-04-22,1.41,1.189,1.21,39415.39,50929.92,1.409,direct,
2011-04-23,1.95,1.32,1.409,66620.36,103242.84,1.7,direct,
2011-04-24,1.95,1.6,1.7,21541.69,36076.01,1.631,direct,
2011-04-25,1.701,1.521,1.631,13471.6,21226.89,1.559,direct,
2011-04-26,1.795,1.53,1.559,24054.31,40211.17,1.795,direct,
2011-04-27,1.95,1.72,1.795,33055.26,62403.35,1.9,direct,
2011-04-28,2.65,1.66,1.9,100238.23,203392.46,2.211,direct,
2011-04-29,2.95,2.21,2.211,57577.32,148954.47,2.88,direct,
2011-04-30,4.15,2.75,2.88,65427.8,214977.24,3.55,direct,
