high_price,low,open,volumefrom,volumeto,close,conversionType
62482.31,59554.88,61349.75,31925.65,1955088666.05,60960.98,direct
64283.57,60677.48,60960.98,36009.96,2260756044.28,63260.05,direct
63553.52,61057.89,63260.05,29618.09,1852233940.61,62929.93,direct
63102.86,60745.84,62929.93,23030.57,1420765190.91,61448.47,direct
62621.97,60789.16,61448.47,20540.56,1262030165.48,61019.66,direct
61594.16,60130.85,61019.66,15432.25,939530051.87,61529.76,direct
63309.57,61406.56,61529.76,14937.9,929571983.79,63302.78,direct
67755.46,63302.78,63302.78,39774.17,2614939972.01,67549.14,direct
68514.26,66312.42,67549.14,32745.53,2209551778.82,66939.24,direct
68978.64,63196.25,66939.24,50591.31,3365466815.36,64926.06,direct
65585.68,64130.37,64926.06,21475.67,1393819061.45,64820.8,direct
65466.0,62315.02,64820.8,32742.19,2090846686.0,64156.3,direct
64967.34,63406.98,64156.3,12719.98,815997863.99,64409.56,direct
65509.06,63616.33,64409.56,14680.72,947303706.23,65509.06,direct
66335.42,63442.58,65509.06,25263.23,1639253320.63,63614.06,direct
63614.53,58745.71,63614.06,61509.16,3740808475.72,60108.9,direct
60837.09,58566.05,60108.9,43164.9,2582737930.61,60365.6,direct
60964.37,56535.61,60365.6,63523.43,3718546724.95,56930.68,direct
58403.92,55655.03,56930.68,36833.38,2107344590.7,58136.22,direct
59901.9,57450.63,58136.22,16773.71,985075173.7,59769.66,direct
60058.65,58575.6,59769.66,14990.7,888045056.17,58700.83,direct
59391.98,55673.01,58700.83,41371.1,2371226089.18,56303.06,direct
57873.77,55485.59,56303.06,37871.22,2153848949.04,57566.6,direct
57740.34,55899.88,57566.6,28738.13,1630017073.7,57175.09,direct
59437.04,57056.64,57175.09,24221.47,1412787308.46,58966.99,direct
59201.95,53575.54,58966.99,60064.72,3312563227.95,53788.22,direct
55316.65,53668.95,53788.22,18504.73,1010585542.47,54805.03,direct
57475.26,53436.05,54805.03,21562.34,1186994646.57,57331.41,direct
58898.57,56752.37,57331.41,29291.8,1690005715.85,57839.55,direct
59226.33,55931.33,57839.55,41466.86,2383744473.31,56975.35,direct
59096.53,56505.99,56975.35,36078.24,2072824070.98,57227.97,direct
57409.48,55850.4,57227.97,30214.7,1712170975.38,56522.76,direct
57639.15,52493.23,56522.76,44903.19,2461497753.56,53663.25,direct
53871.2,43563.07,53663.25,89255.49,4315348557.56,49243.39,direct
49764.31,47840.63,49243.39,42264.26,2074283149.33,49465.5,direct
50986.02,47260.2,49465.5,49875.62,2437856119.9,50552.83,direct
51953.27,50083.33,50552.83,29306.55,1496164576.66,50633.01,direct
51215.6,48711.85,50633.01,25732.2,1290175070.3,50513.04,direct
50829.41,47347.73,50513.04,34472.44,1681556175.72,47593.85,direct
50047.85,46989.42,47593.85,39527.74,1905617871.17,47191.14,direct
49504.07,46829.85,47191.14,24394.48,1181186604.23,49398.4,direct
50807.75,48689.25,49398.4,21546.75,1072562349.4,50109.99,direct
50215.42,45800.52,50109.99,49444.13,2353893179.4,46731.03,direct
48665.63,46320.4,46731.03,34838.49,1646492085.28,48387.69,direct
49499.91,46562.1,48387.69,44270.94,2132679583.02,48885.05,direct
49451.4,47546.15,48885.05,26205.68,1271265804.99,47635.92,direct
48004.37,45505.02,47635.92,37546.89,1756062773.63,46164.14,direct
47356.67,45522.92,46164.14,18781.81,874187163.05,46861.62,direct
48286.29,46459.66,46861.62,21907.14,1035963939.83,46697.13,direct
47495.72,45586.49,46697.13,32678.5,1517599333.73,46913.54,direct
49334.04,46661.88,46913.54,31921.06,1546447524.57,48917.48,direct
49581.41,48460.43,48917.48,20998.03,1028434929.44,48614.97,direct
51382.88,48062.25,48614.97,30734.43,1525047125.27,50830.2,direct
51863.56,50449.36,50830.2,21669.58,1107244995.18,50840.36,direct
51158.56,50199.56,50840.36,11532.27,585818997.15,50431.63,direct
51283.7,49485.62,50431.63,14663.26,736617761.86,50790.88,direct
52079.46,50481.26,50790.88,21873.37,1120188136.96,50714.73,direct
50718.53,47317.78,50714.73,40699.4,1985905082.17,47536.39,direct
48145.34,46107.79,47536.39,33749.8,1599557104.64,46471.7,direct
47917.89,45964.28,46471.7,39311.18,1852206857.29,47129.66,direct
48573.22,45665.44,47129.66,34737.79,1636014399.31,46197.31,direct
47950.29,46196.03,46197.31,16697.92,786729972.03,47737.35,direct
47979.26,46666.18,47737.35,13025.66,615453426.93,47306.41,direct
47572.23,45707.55,47306.41,21681.38,1011309525.84,46450.79,direct
47529.48,45587.91,46450.79,29035.93,1349229422.84,45824.54,direct
47067.18,42510.86,45824.54,47769.2,2152187256.39,43432.51,direct
43779.23,42468.76,43432.51,36804.78,1585314774.47,43094.54,direct
43138.79,40750.42,43094.54,51310.46,2146452950.19,41543.79,direct
42306.77,40534.37,41543.79,27559.19,1143171232.86,41686.67,direct
42800.66,41237.13,41686.67,21486.68,901652458.82,41869.6,direct
42251.07,39667.6,41869.6,51976.97,2140270933.32,41832.59,direct
43122.32,41279.45,41832.59,36554.37,1545270650.68,42743.03,direct
44293.83,42471.08,42743.03,31859.05,1384575768.8,43919.67,direct
44442.67,42334.75,43919.67,29159.4,1263083590.1,42575.61,direct
43467.05,41785.44,42575.61,27290.3,1165100829.55,43089.83,direct
43811.94,42589.82,43089.83,14075.12,607715303.39,43088.74,direct
43484.21,42617.07,43088.74,12615.04,543620929.25,43100.36,direct
43198.05,41571.67,43100.36,20310.91,861459661.83,42224.38,direct
42682.77,41301.01,42224.38,26287.26,1099916846.37,42372.75,direct
42575.28,41144.83,42372.75,32436.62,1359832054.32,41674.8,direct
43513.14,40564.32,41674.8,35135.79,1482814889.83,40697.03,direct
41116.66,35494.42,40697.03,94195.63,3610621840.61,36469.3,direct
36811.86,34130.35,36469.3,68447.95,2419705021.17,35075.92,direct
