high_price,low,open,volumefrom,volumeto,close,conversionType
31956.43,29324.1,31782.16,43767.18,1343136773.16,29789.58,direct
30647.18,29574.16,29789.58,31049.7,932339972.84,30439.63,direct
30676.7,29249.37,30439.63,24607.85,734000142.92,29680.3,direct
29953.65,29466.57,29680.3,10446.72,310298122.38,29845.48,direct
30151.31,29516.97,29845.48,10423.68,311392830.2,29897.9,direct
31740.27,29876.22,29897.9,34484.33,1076503583.85,31353.78,direct
31551.28,29210.15,31353.78,44308.05,1340573593.65,31111.75,direct
31305.48,29839.64,31111.75,27741.65,844411303.8,30189.27,direct
30677.87,29924.47,30189.27,20555.57,620735850.86,30082.94,direct
30336.9,28839.92,30082.94,38461.6,1133049950.35,29067.38,direct
29414.37,28105.18,29067.38,24313.37,696986226.28,28389.49,direct
28519.32,26570.67,28389.49,38522.37,1060464718.45,26587.35,direct
26871.6,21976.15,26587.35,169741.38,4089411013.33,22471.59,direct
23214.28,20837.64,22471.59,93509.58,2063908671.45,22118.37,direct
22743.84,20083.9,22118.37,118629.55,2516136880.34,22566.73,direct
22961.17,20209.17,22566.73,62443.29,1326876814.5,20372.85,direct
21330.5,20221.24,20372.85,63610.58,1312456705.74,20432.26,direct
20722.69,17600.75,20432.26,100138.03,1898530847.49,18954.25,direct
20776.87,17936.0,18954.25,61181.89,1190970309.62,20553.48,direct
21016.02,19616.32,20553.48,48976.59,995940744.76,20550.91,direct
21694.7,20339.03,20550.91,45262.22,954292227.72,20699.21,direct
20862.67,19756.23,20699.21,50640.15,1027725806.49,19956.16,direct
21195.95,19870.07,19956.16,40647.06,836636021.34,21098.41,direct
21528.86,20717.47,21098.41,40303.85,850728330.88,21219.46,direct
21587.06,20902.05,21219.46,21604.15,459148971.07,21474.19,direct
21855.84,20968.82,21474.19,20812.53,445023789.79,21031.85,direct
21505.42,20553.32,21031.85,30683.89,643546203.12,20718.16,direct
21184.16,20179.52,20718.16,32936.56,680727935.72,20251.96,direct
20402.7,19844.86,20251.96,37366.3,751143299.02,20094.16,direct
20138.96,18622.86,20094.16,56316.14,1084138608.25,19908.49,direct
20817.65,18952.12,19908.49,62287.55,1220917103.86,19249.33,direct
19419.25,18965.44,19249.33,20447.36,393018265.78,19225.66,direct
19617.18,18768.2,19225.66,22431.91,430213883.45,19294.21,direct
20313.34,19036.44,19294.21,31698.75,623812499.17,20212.81,direct
20725.51,19284.32,20212.81,46669.86,931653558.35,20158.69,direct
