date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2011-05-01,3.87,2.5,3.55,45772.07,143521.98,3.033,direct,
2011-05-02,3.495,3.029,3.033,18333.83,59421.72,3.2,direct,
2011-05-03,3.49,3.11,3.2,16919.18,56187.48,3.41,direct,
2011-05-04,3.58,3.25,3.41,17278.29,59434.11,3.406,direct,
2011-05-05,3.45,3.333,3.406,15350.34,52331.39,3.333,direct,
2011-05-06,3.61,3.29,3.333,23014.7,80063.98,3.452,direct,
2011-05-07,3.7,3.425,3.452,17833.29,64359.68,3.641,direct,
2011-05-08,3.937,3.63,3.641,21132.51,79620.81,3.866,direct,
2011-05-09,3.9,3.691,3.866,11520.93,43805.92,3.8,direct,
2011-05-10,5.99,3.8,3.8,56217.32,266466.71,5.81,direct,
2011-05-11,6.065,4.6,5.81,52569.15,281496.86,5.5,direct,
2011-05-12,6.49,5.22,5.5,31722.46,184839.99,6.3,direct,
2011-05-13,8.45,6.3,6.3,64003.37,478840.49,8.198,direct,
2011-05-14,8.9,5.83,8.198,55390.45,435571.02,7.198,direct,
2011-05-15,7.78,6.2,7.198,18294.87,123255.5,6.987,direct,
2011-05-16,8.5,6.75,6.987,44141.41,343050.47,8.034,direct,
2011-05-17,8.389,6.98,8.034,35345.46,265868.95,7.19,direct,
2011-05-18,7.5,6.6,7.19,25403.44,181331.16,6.88,direct,
2011-05-19,7.34,6.607,6.88,24436.41,170134.8,6.811,direct,
2011-05-20,7.1,5.577,6.811,44460.44,278992.34,5.59,direct,
2011-05-21,6.52,5.577,5.59,31111.9,185640.17,6.12,direct,
2011-05-22,6.759,5.99,6.12,23872.15,154432.52,6.69,direct,
2011-05-23,7.45,6.69,6.69,35279.88,250601.3,7.15,direct,
2011-05-24,7.51,6.96,7.15,29282.48,211827.28,7.42,direct,
2011-05-25,9.33,7.216,7.42,64049.94,510905.18,8.4,direct,
2011-05-26,8.987,8.01,8.4,28644.99,244820.48,8.798,direct,
2011-05-27,8.83,8.5,8.798,14431.84,125149.05,8.5,direct,
2011-05-28,8.7,8.11,8.5,12247.72,103463.69,8.3,direct,
2011-05-29,8.49,8.102,8.3,7487.54,62138.87,8.43,direct,
2011-05-30,9.0,8.25,8.43,17680.15,154258.85,8.8,direct,
2011-05-31,9.5,8.1,8.8,45794.43,406882.27,8.741,direct,
2011-06-01,9.699,8.3,8.741,43479.96,400564.35,9.57,direct,
2011-06-02,10.89,9.5,9.57,41047.27,415112.72,10.6,direct,
2011-06-03,14.5,10.58,10.6,72980.24,954513.54,14.29,direct,
2011-06-04,18.89,14.04,14.29,44475.34,729670.85,18.89,direct,
2011-06-05,19.0,16.2,18.89,24278.97,420612.47,16.7,direct,
2011-06-06,19.23,16.45,16.7,55092.47,1016927.39,18.55,direct,
2011-06-07,24.32,18.26,18.55,53715.04,1068903.32,23.92,direct,
2011-06-08,31.91,22.21,23.92,104925.16,2858820.38,29.6,direct,
2011-06-09,31.5,26.15,29.6,62933.66,1861589.64,28.92,direct,
2011-06-10,29.4,20.01,28.92,92208.2,2274786.4,23.95,direct,
2011-06-11,23.99,13.0,23.95,121869.97,2146587.96,14.65,direct,
