date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2017-07-01,2529.62,2387.47,2480.61,66319.98,160661673.8,2424.61,direct,
2017-07-02,2555.34,2375.86,2424.61,67757.31,165839565.2,2536.46,direct,
2017-07-03,2617.48,2506.3,2536.46,83418.16,212244951.2,2572.47,direct,
2017-07-04,2658.73,2569.99,2572.47,80675.07,210433639.12,2617.32,direct,
2017-07-05,2642.74,2562.04,2617.32,89719.19,232257106.93,2627.86,direct,
2017-07-06,2634.84,2581.8,2627.86,60155.45,156558009.83,2614.24,direct,
2017-07-07,2617.48,2484.73,2614.24,90447.94,229168229.22,2513.88,direct,
2017-07-08,2568.73,2480.62,2513.88,54508.76,136973389.49,2564.86,direct,
2017-07-09,2576.73,2509.65,2564.86,39161.96,99506518.51,2511.43,direct,
2017-07-10,2530.34,2271.79,2511.43,123797.54,297270301.0,2344.02,direct,
2017-07-11,2412.75,2265.48,2344.02,146630.2,341998621.09,2324.29,direct,
2017-07-12,2424.82,2262.08,2324.29,109522.9,257095280.13,2403.09,direct,
2017-07-13,2436.66,2334.96,2403.09,88166.37,208630220.69,2362.44,direct,
2017-07-14,2370.53,2165.36,2362.44,114411.35,257704533.44,2234.17,direct,
2017-07-15,2237.13,1974.03,2234.17,155317.39,320719096.8,1975.08,direct,
2017-07-16,2044.41,1808.99,1975.08,189643.47,364287861.72,1914.09,direct,
2017-07-17,2233.83,1913.79,1914.09,176887.53,368366495.35,2233.39,direct,
2017-07-18,2400.74,2164.59,2233.39,202621.16,465220151.81,2320.23,direct,
2017-07-19,2412.38,2243.13,2320.23,154319.01,357639189.58,2282.58,direct,
2017-07-20,2932.81,2282.11,2282.58,310335.43,807416890.88,2866.02,direct,
2017-07-21,2873.96,2622.54,2866.02,193756.93,529154789.97,2675.08,direct,
2017-07-22,2876.71,2658.59,2675.08,121917.95,341992860.2,2836.53,direct,
2017-07-23,2856.67,2675.65,2836.53,108229.76,299869260.34,2756.61,direct,
2017-07-24,2798.89,2715.69,2756.61,83009.25,229047365.02,2763.42,direct,
2017-07-25,2779.08,2472.62,2763.42,205883.15,534765380.75,2582.58,direct,
2017-07-26,2631.73,2441.54,2582.58,135502.93,340465234.92,2559.21,direct,
2017-07-27,2712.92,2547.74,2559.21,103832.54,269880857.99,2691.88,direct,
2017-07-28,2843.78,2683.59,2691.88,138904.86,383479795.74,2806.75,direct,
2017-07-29,2812.13,2699.42,2806.75,84491.69,230818894.97,2733.5,direct,
2017-07-30,2773.06,2621.68,2733.5,82717.65,222933516.31,2766.49,direct,
2017-07-31,2916.3,2723.05,2766.49,91115.22,254836601.62,2883.27,direct,
2017-08-01,2946.02,2659.62,2883.27,123174.1,341216428.6,2746.99,direct,
2017-08-02,2773.8,2668.87,2746.99,81817.6,222534344.58,2720.53,direct,
2017-08-03,2822.88,2717.62,2720.53,68102.9,188517085.91,2809.99,direct,
2017-08-04,2892.67,2779.51,2809.99,68760.4,195800289.46,2878.49,direct,
2017-08-05,3344.01,2875.91,2878.49,159402.96,503737620.4,3262.8,direct,
2017-08-06,3295.07,3166.52,3262.8,60660.39,196484496.53,3232.03,direct,
2017-08-07,3425.13,3198.51,3232.03,88111.88,294021645.24,3401.91,direct,
2017-08-08,3494.87,3357.15,3401.91,106940.67,366169429.25,3429.38,direct,
2017-08-09,3437.15,3251.03,3429.38,97062.76,324058681.71,3348.79,direct,
2017-08-10,3453.84,3322.92,3348.79,71000.32,242024460.29,3425.67,direct,
2017-08-11,3706.48,3409.79,3425.67,97564.43,345135492.36,3654.37,direct,
2017-08-12,3967.26,3611.36,3654.37,123593.57,469532325.43,3871.62,direct,
2017-08-13,4189.42,3847.31,3871.62,158586.97,638917500.34,4062.6,direct,
