high_price,low,open,volumefrom,volumeto,close,conversionType
1001.61,956.1,963.38,41148.52,40570922.99,995.44,direct
1031.68,990.2,995.44,64951.63,66038073.34,1017.05,direct
1035.47,1006.53,1017.05,54788.01,56085870.7,1033.3,direct
1148.54,1022.32,1033.3,156272.17,170584623.04,1135.41,direct
1150.63,874.53,1135.41,240007.84,244839289.77,989.35,direct
1027.42,852.55,989.35,194290.96,179160668.84,886.16,direct
900.86,806.66,886.16,130663.09,113037531.71,888.87,direct
936.13,875.85,888.87,76905.99,70298340.37,900.86,direct
910.47,870.91,900.86,62579.5,55963281.18,899.78,direct
911.32,890.12,899.78,53709.46,48644106.82,904.37,direct
917.65,751.63,904.37,194436.54,160194109.8,785.43,direct
828.21,739.55,785.43,120241.76,93986701.88,810.11,direct
835.05,771.0,810.11,89861.97,72555875.62,824.83,direct
838.9,808.27,824.83,44207.74,36594482.0,819.63,direct
826.43,808.63,819.63,24401.41,20004735.1,821.17,direct
836.66,817.7,821.17,33222.93,27592899.17,827.34,direct
906.38,825.04,827.34,82207.99,72272727.15,899.66,direct
913.67,845.87,899.66,69258.17,61042392.11,872.03,direct
905.28,870.71,872.03,58440.87,52300814.98,895.21,direct
901.49,878.9,895.21,38865.48,34847130.33,892.91,direct
928.93,889.46,892.91,40378.21,37129176.59,919.84,direct
938.38,888.62,919.84,47927.32,44074299.79,918.84,direct
927.98,910.85,918.84,32744.43,30261054.5,921.46,direct
925.61,889.15,921.46,58874.32,53468911.31,893.75,direct
905.7,883.63,893.75,37902.18,34014866.15,894.41,direct
919.32,893.49,894.41,33800.2,30795685.98,915.56,direct
922.56,907.92,915.56,30968.49,28503144.41,918.01,direct
921.89,912.84,918.01,14307.36,13251844.02,918.51,direct
922.4,912.68,918.51,11052.31,10214368.33,914.55,direct
922.35,911.51,914.55,19062.15,17604172.47,920.73,direct
967.45,917.38,920.73,54670.21,51869216.53,965.49,direct
986.57,959.82,965.49,45223.3,44035816.37,982.43,direct
1009.13,973.5,982.43,50863.87,50633910.56,1003.97,direct
1023.72,989.21,1003.97,61671.88,62431017.97,1013.02,direct
1041.04,1000.41,1013.02,39461.62,40406542.54,1031.85,direct
1033.66,1004.05,1031.85,31058.49,31669956.98,1016.11,direct
1030.6,1010.83,1016.11,32019.82,32828350.27,1024.67,direct
1054.1,1019.87,1024.67,39553.25,41318349.43,1049.56,direct
1069.23,1020.33,1049.56,65145.12,68336320.22,1055.49,direct
1073.03,924.65,1055.49,146746.26,145839317.48,978.96,direct
1005.6,947.02,978.96,62132.99,60639111.4,997.61,direct
1014.32,983.93,997.61,28319.39,28504495.1,1008.32,direct
1007.82,992.45,1008.32,14750.39,14825023.07,996.52,direct
1007.61,975.1,996.52,32908.63,32785064.4,995.36,direct
1013.8,986.46,995.36,39537.9,39810076.3,1008.34,direct
1010.93,999.73,1008.34,23359.15,23569549.45,1008.19,direct
1040.28,1007.39,1008.19,38080.21,39114743.32,1031.93,direct
1057.39,1025.87,1031.93,45711.79,47815360.54,1049.41,direct
1063.21,1044.68,1049.41,25362.02,26856521.18,1052.28,direct
1056.48,1037.67,1052.28,17953.15,18876881.86,1048.89,direct
1081.78,1040.99,1048.89,31010.85,32959720.15,1077.56,direct
1123.03,1073.54,1077.56,57048.87,62908569.43,1119.03,direct
1132.25,1094.83,1119.03,47913.31,53647453.34,1120.46,direct
1181.6,1113.54,1120.46,65737.1,75663167.44,1171.91,direct
1211.74,1092.41,1171.91,108170.88,126978010.75,1176.49,direct
1180.01,1116.21,1176.49,45860.52,53003830.46,1149.05,direct
1177.47,1130.61,1149.05,30764.77,35750258.05,1171.58,direct
1195.82,1164.27,1171.58,35468.84,42035366.64,1188.83,direct
1208.22,1175.75,1188.83,50579.83,60371869.57,1189.27,direct
1225.04,1154.55,1189.27,51153.83,61964760.57,1222.66,direct
1286.98,1211.96,1222.66,78492.01,98040639.32,1255.47,direct
1291.35,1250.8,1255.47,67275.49,85876262.86,1283.3,direct
1285.78,1228.73,1283.3,38418.2,48597934.9,1264.32,direct
1273.28,1242.1,1264.32,25430.23,32104972.38,1271.22,direct
1280.61,1261.0,1271.22,31026.9,39591110.81,1277.01,direct
1280.89,1148.66,1277.01,87722.01,108673876.49,1232.69,direct
1242.04,1136.88,1232.69,97875.25,116342973.91,1146.97,direct
1206.97,1129.35,1146.97,59860.55,70427061.57,1191.33,direct
1330.42,988.69,1191.33,190472.52,223836041.81,1112.39,direct
1202.69,1104.78,1112.39,70747.22,82387198.06,1179.22,direct
1235.46,1160.9,1179.22,44412.09,53441762.07,1225.11,direct
1245.63,1205.61,1225.11,60460.94,74376298.14,1238.19,direct
1255.52,1218.38,1238.19,45142.05,56058617.23,1243.14,direct
1256.95,1236.43,1243.14,43592.4,54486699.63,1253.43,direct
1260.24,1118.96,1253.43,132773.3,159409024.53,1172.88,direct
1174.9,1063.48,1172.88,163739.0,183879768.71,1071.71,direct
1103.61,940.18,1071.71,210424.36,212772055.65,971.38,direct
1063.67,967.31,971.38,106444.72,108128237.76,1022.6,direct
1057.5,1005.05,1022.6,61431.4,63833143.48,1047.51,direct
1125.53,1043.87,1047.51,92591.27,101051998.73,1121.29,direct
1121.88,997.78,1121.29,115286.08,120730492.05,1044.72,direct
1062.79,1022.02,1044.72,56517.89,58898141.13,1035.03,direct
1038.38,927.35,1035.03,132599.72,130042865.54,939.7,direct
