date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-01,49812.2,45058.98,45261.03,65660.6,3146266419.71,49635.07,direct,
2021-03-02,50221.14,47097.84,49635.07,43281.84,2105387914.68,48501.21,direct,
2021-03-03,52625.39,48176.64,48501.21,51572.27,2615513552.66,50392.55,direct,
2021-03-04,51792.65,47516.91,50392.55,61387.71,3024053725.58,48363.74,direct,
2021-03-05,49467.19,46311.43,48363.74,60955.82,2907395734.68,48775.37,direct,
2021-03-06,49185.32,47099.07,48775.37,25116.42,1214194643.85,48892.8,direct,
2021-03-07,51455.54,48892.8,48892.8,32958.26,1658558074.88,50964.18,direct,
2021-03-08,52408.08,49341.09,50964.18,48084.28,2445827949.75,52405.02,direct,
2021-03-09,54933.93,51888.98,52405.02,53740.22,2898199576.25,54928.7,direct,
2021-03-10,57396.59,53054.34,54928.7,70138.56,3898251700.72,55893.31,direct,
2021-03-11,58142.77,54314.65,55893.31,59202.98,3340389094.49,57809.41,direct,
2021-03-12,58069.58,55089.68,57809.41,54282.31,3079097934.08,57256.22,direct,
2021-03-13,61749.15,56103.32,57256.22,57862.75,3439594034.95,61179.79,direct,
2021-03-14,61674.66,58980.95,61179.79,34886.85,2105197604.06,58998.89,direct,
2021-03-15,60589.17,54857.68,58998.89,75161.15,4297382088.92,55665.01,direct,
2021-03-16,56936.04,53269.13,55665.01,62540.93,3441195999.4,56925.01,direct,
2021-03-17,58975.28,54156.11,56925.01,62035.71,3493543493.16,58909.0,direct,
2021-03-18,60077.79,57022.2,58909.0,54289.71,3178687259.25,57643.32,direct,
2021-03-19,59453.32,56283.37,57643.32,41182.41,2397999967.37,58060.21,direct,
2021-03-20,59911.7,57837.79,58060.21,28696.46,1687922804.56,58101.34,direct,
2021-03-21,58621.34,55635.61,58101.34,34236.52,1958214099.07,57374.95,direct,
2021-03-22,58431.44,53795.78,57374.95,51098.9,2865346861.49,54095.36,direct,
2021-03-23,55836.27,52984.36,54095.36,44780.24,2444787014.61,54355.45,direct,
2021-03-24,57202.53,51685.15,54355.45,62596.16,3420695083.54,52303.02,direct,
2021-03-25,53199.52,50406.31,52303.02,69776.36,3617760373.16,51336.09,direct,
2021-03-26,55083.9,51275.54,51336.09,46165.63,2461374478.26,55055.43,direct,
2021-03-27,56606.78,53991.0,55055.43,27392.29,1514783182.02,55863.73,direct,
2021-03-28,56561.55,54717.97,55863.73,24145.77,1345583216.95,55781.01,direct,
2021-03-29,58413.9,54910.57,55781.01,51547.9,2950020309.68,57626.1,direct,
2021-03-30,59402.27,57055.21,57626.1,35315.45,2064647135.86,58781.54,direct,
2021-03-31,59818.5,56918.81,58781.54,46494.48,2727194335.71,58793.8,direct,
2021-04-01,59469.45,57949.11,58793.8,28027.66,1648724834.05,58730.82,direct,
2021-04-02,60061.51,58458.46,58730.82,29748.03,1765524921.41,58987.8,direct,
2021-04-03,59770.87,56958.04,58987.8,25104.9,1470430519.81,57074.97,direct,
2021-04-04,58493.73,56493.38,57074.97,19002.99,1093079652.2,58219.43,direct,
2021-04-05,59235.68,56833.44,58219.43,24696.26,1439529332.47,59119.56,direct,
2021-04-06,59464.31,57369.44,59119.56,26304.15,1535666142.46,58010.35,direct,
2021-04-07,58628.19,55467.58,58010.35,50347.59,2855410824.81,55951.98,direct,
2021-04-08,58150.23,55711.07,55951.98,25461.84,1458096433.7,58084.46,direct,
2021-04-09,58881.94,57694.22,58084.46,21314.29,1241735091.75,58106.85,direct,
2021-04-10,61193.5,57885.43,58106.85,38726.18,2322058695.22,59784.8,direct,
2021-04-11,60673.37,59218.25,59784.8,20365.62,1218894531.01,59980.45,direct,
2021-04-12,61233.29,59421.37,59980.45,31804.9,1913098388.79,59845.76,direct,
2021-04-13,63682.32,59811.31,59845.76,52964.84,3299086696.94,63558.48,direct,
2021-04-14,64859.81,61312.98,63558.48,64272.96,4066819695.96,62964.27,direct,
2021-04-15,63826.89,62038.33,62964.27,34089.46,2146219571.03,63233.03,direct,
2021-04-16,63567.11,60048.13,63233.03,57540.3,3544777400.64,61416.41,direct,
2021-04-17,62541.21,59712.92,61416.41,34261.66,2093039585.66,60056.07,direct,
2021-04-18,60393.33,52785.1,60056.07,112545.94,6264051811.58,56246.82,direct,
2021-04-19,57590.64,54291.08,56246.82,48650.49,2732647682.18,55680.11,direct,
2021-04-20,57101.05,53429.73,55680.11,55866.75,3091319805.6,56496.06,direct,
2021-04-21,56801.94,53640.81,56496.06,41813.35,2312255459.33,53803.25,direct,
2021-04-22,55458.61,50519.78,53803.25,84222.11,4488994737.96,51717.61,direct,
2021-04-23,52112.75,47495.24,51717.61,105510.21,5241192198.03,51178.03,direct,
2021-04-24,51223.86,48769.48,51178.03,33894.94,1695108976.06,50115.99,direct,
2021-04-25,50576.4,47073.07,50115.99,44241.37,2176241676.28,49120.97,direct,
2021-04-26,54389.71,48843.41,49120.97,61603.5,3254396664.97,54062.29,direct,
2021-04-27,55490.94,53357.59,54062.29,40602.56,2220077233.11,55073.48,direct,
2021-04-28,56461.55,53886.63,55073.48,42647.15,2339383717.48,54877.94,direct,
2021-04-29,55217.24,52399.42,54877.94,43948.76,2359198137.55,53581.58,direct,
2021-04-30,57984.34,53089.93,53581.58,48771.0,2719315702.2,57757.97,direct,
