high_price,low,open,volumefrom,volumeto,close,conversionType
48470.13,43304.82,43829.34,53577.95,2498575570.28,48164.35,direct
48347.69,47468.49,48164.35,16062.18,769022184.37,47669.02,direct
49185.34,47137.07,47669.02,18588.83,895606844.23,48234.05,direct
49501.21,46944.28,48234.05,34394.0,1664027525.19,49276.91,direct
51885.03,49087.72,49276.91,40687.89,2049372160.16,51504.27,direct
55656.67,50439.32,51504.27,64415.98,3444996109.53,55345.85,direct
55359.77,53391.93,55343.24,33806.76,1836529821.85,53797.21,direct
56047.91,53666.09,53796.22,29127.91,1592265868.06,53949.29,direct
55485.2,53696.32,53949.29,14593.95,799607238.61,54968.04,direct
56473.63,54131.52,54968.04,23094.98,1276001425.96,54700.24,direct
57825.98,54448.68,54700.24,31803.75,1805863526.52,57498.8,direct
57646.93,54098.22,57498.8,33966.65,1913353762.18,56010.9,direct
57768.98,54279.61,56010.9,34054.43,1906230334.0,57369.0,direct
58514.76,56854.38,57369.0,28061.61,1617497364.76,57359.21,direct
62889.98,56885.66,57359.21,62053.36,3737889743.83,61684.96,direct
62341.46,60153.79,61684.96,22943.96,1404879137.37,60877.77,direct
61698.1,59050.3,60877.77,23336.32,1414498881.98,61520.54,direct
62662.72,59925.93,61520.54,50489.09,3113486441.7,62038.16,direct
64468.7,61410.11,62038.16,42983.11,2706420467.09,64283.97,direct
66980.66,63543.7,64283.97,45364.94,2978059285.56,66021.02,direct
66645.73,62076.16,66021.02,62097.42,3962470063.85,62283.96,direct
63731.17,60017.23,62283.96,40476.42,2504718475.2,60693.59,direct
61733.43,59705.11,60693.59,16232.5,990360071.85,61313.09,direct
61481.25,59529.34,61313.09,19158.07,1158838824.68,60863.56,direct
63709.97,60658.35,60863.56,24693.91,1549308691.98,63089.04,direct
63290.04,59868.68,63089.04,28107.19,1738003094.57,60315.68,direct
61473.0,58128.18,60315.68,45852.35,2719093218.08,58464.42,direct
62252.08,58145.43,58464.42,51251.1,3090102767.38,60610.11,direct
62967.45,60269.97,60610.11,35214.62,2168021242.77,62282.5,direct
62371.52,60774.38,62282.5,15917.35,979987095.61,61891.91,direct
62420.57,60022.06,61891.91,19359.29,1181933822.61,61349.75,direct
62482.31,59554.88,61349.75,31925.65,1955088666.05,60960.98,direct
64283.57,60677.48,60960.98,36009.96,2260756044.28,63260.05,direct
63553.52,61057.89,63260.05,29618.09,1852233940.61,62929.93,direct
63102.86,60745.84,62929.93,23030.57,1420765190.91,61448.47,direct
62621.97,60789.16,61448.47,20540.56,1262030165.48,61019.66,direct
61594.16,60130.85,61019.66,15432.25,939530051.87,61529.76,direct
63309.57,61406.56,61529.76,14937.9,929571983.79,63302.78,direct
67755.46,63302.78,63302.78,39774.17,2614939972.01,67549.14,direct
68514.26,66312.42,67549.14,32745.53,2209551778.82,66939.24,direct
68978.64,63196.25,66939.24,50591.31,3365466815.36,64926.06,direct
65585.68,64130.37,64926.06,21475.67,1393819061.45,64820.8,direct
65466.0,62315.02,64820.8,32742.19,2090846686.0,64156.3,direct
64967.34,63406.98,64156.3,12719.98,815997863.99,64409.56,direct
65509.06,63616.33,64409.56,14680.72,947303706.23,65509.06,direct
66335.42,63442.58,65509.06,25263.23,1639253320.63,63614.06,direct
63614.53,58745.71,63614.06,61509.16,3740808475.72,60108.9,direct
60837.09,58566.05,60108.9,43164.9,2582737930.61,60365.6,direct
60964.37,56535.61,60365.6,63523.43,3718546724.95,56930.68,direct
58403.92,55655.03,56930.68,36833.38,2107344590.7,58136.22,direct
59901.9,57450.63,58136.22,16773.71,985075173.7,59769.66,direct
60058.65,58575.6,59769.66,14990.7,888045056.17,58700.83,direct
59391.98,55673.01,58700.83,41371.1,2371226089.18,56303.06,direct
57873.77,55485.59,56303.06,37871.22,2153848949.04,57566.6,direct
57740.34,55899.88,57566.6,28738.13,1630017073.7,57175.09,direct
59437.04,57056.64,57175.09,24221.47,1412787308.46,58966.99,direct
59201.95,53575.54,58966.99,60064.72,3312563227.95,53788.22,direct
55316.65,53668.95,53788.22,18504.73,1010585542.47,54805.03,direct
57475.26,53436.05,54805.03,21562.34,1186994646.57,57331.41,direct
58898.57,56752.37,57331.41,29291.8,1690005715.85,57839.55,direct
59226.33,55931.33,57839.55,41466.86,2383744473.31,56975.35,direct
59096.53,56505.99,56975.35,36078.24,2072824070.98,57227.97,direct
57409.48,55850.4,57227.97,30214.7,1712170975.38,56522.76,direct
57639.15,52493.23,56522.76,44903.19,2461497753.56,53663.25,direct
53871.2,43563.07,53663.25,89255.49,4315348557.56,49243.39,direct
49764.31,47840.63,49243.39,42264.26,2074283149.33,49465.5,direct
50986.02,47260.2,49465.5,49875.62,2437856119.9,50552.83,direct
51953.27,50083.33,50552.83,29306.55,1496164576.66,50633.01,direct
51215.6,48711.85,50633.01,25732.2,1290175070.3,50513.04,direct
50829.41,47347.73,50513.04,34472.44,1681556175.72,47593.85,direct
50047.85,46989.42,47593.85,39527.74,1905617871.17,47191.14,direct
49504.07,46829.85,47191.14,24394.48,1181186604.23,49398.4,direct
50807.75,48689.25,49398.4,21546.75,1072562349.4,50109.99,direct
50215.42,45800.52,50109.99,49444.13,2353893179.4,46731.03,direct
48665.63,46320.4,46731.03,34838.49,1646492085.28,48387.69,direct
49499.91,46562.1,48387.69,44270.94,2132679583.02,48885.05,direct
49451.4,47546.15,48885.05,26205.68,1271265804.99,47635.92,direct
48004.37,45505.02,47635.92,37546.89,1756062773.63,46164.14,direct
47356.67,45522.92,46164.14,18781.81,874187163.05,46861.62,direct
48286.29,46459.66,46861.62,21907.14,1035963939.83,46697.13,direct
47495.72,45586.49,46697.13,32678.5,1517599333.73,46913.54,direct
49334.04,46661.88,46913.54,31921.06,1546447524.57,48917.48,direct
49581.41,48460.43,48917.48,20998.03,1028434929.44,48614.97,direct
51382.88,48062.25,48614.97,30734.43,1525047125.27,50830.2,direct
51863.56,50449.36,50830.2,21669.58,1107244995.18,50840.36,direct
51158.56,50199.56,50840.36,11532.27,585818997.15,50431.63,direct
51283.7,49485.62,50431.63,14663.26,736617761.86,50790.88,direct
52079.46,50481.26,50790.88,21873.37,1120188136.96,50714.73,direct
50718.53,47317.78,50714.73,40699.4,1985905082.17,47536.39,direct
48145.34,46107.79,47536.39,33749.8,1599557104.64,46471.7,direct
47917.89,45964.28,46471.7,39311.18,1852206857.29,47129.66,direct
48573.22,45665.44,47129.66,34737.79,1636014399.31,46197.31,direct
